State_code,State_name,County_code,County_name,TotalPop_K,Total_WU,Per_Municipal,Per_Industrial,Per_Mining,Per_Livestock,Per_Aquaculture,Per_Irrigation,Per_Irrig_Crops,Per_Irrig_Golf,Per_Thermo
6,California,1,Alameda County,1638.215,183.72,91.84628783,0.489875898,2.34051818,0.146962769,0,5.176355323,4.158502068,1.017853255,0
6,California,3,Alpine County,1.11,9.81,1.019367992,0,0.203873598,0,0,98.77675841,98.77675841,0,0
6,California,5,Amador County,37.001,39.69,21.76870748,1.033005795,4.913076342,0.579491056,18.74527589,52.28017133,51.54950869,0.730662635,0.680272109
6,California,7,Butte County,225.411,808.53,3.563256775,0.49719862,0.180574623,0.035867562,2.63070016,93.09240226,93.03303526,0.059366999,0
6,California,9,Calaveras County,44.828,15.83,41.6298168,1.073910297,0.126342388,1.579279848,0,55.59065066,51.67403664,3.916614024,0
6,California,11,Colusa County,21.482,699.07,0.351896091,0.120159641,0,0.034331326,0,99.45355973,99.44354643,0.010013303,0.040053214
6,California,13,Contra Costa County,1126.745,250.12,55.96113865,1.335359028,0.323844555,0.159923237,0,34.81928674,33.94370702,0.875579722,7.400447785
6,California,15,Del Norte County,27.254,19.39,12.37751418,0,0,2.939659618,0,84.6828262,84.32181537,0.36101083,0
6,California,17,El Dorado County,184.452,55.67,49.93712951,1.598706664,0.035925992,0.323333932,0,48.1049039,46.05712233,2.04778157,0
6,California,19,Fresno County,974.861,1813.6,8.66122629,0.579510366,0.434494927,0.7300397,0.454344949,89.13928099,89.04719894,0.092082047,0.001102779
6,California,21,Glenn County,28.017,665.73,0.383038169,0.040556983,0.042059093,0.297417872,0,99.23692788,99.23242155,0.004506331,0
6,California,23,Humboldt County,135.727,74.01,15.52492906,0.648561005,0.486420754,2.310498581,0,81.0295906,80.50263478,0.526955817,0
6,California,25,Imperial County,180.191,1916.63,1.276720076,0.062609893,0.485748423,0.305744979,0.567663034,96.54132514,96.51732468,0.024000459,0.760188456
6,California,27,Inyo County,18.26,61.95,3.90637611,0.14527845,1.339790153,0.371267151,56.82001614,28.24858757,27.71589992,0.532687651,9.168684423
6,California,29,Kern County,882.176,1915.24,8.817171738,0.128443433,5.665608488,0.635429502,0.236001754,84.46356592,84.31998079,0.143585138,0.053779161
6,California,31,Kings County,150.965,684.44,4.247267839,0.450002922,0,2.172579043,0,93.1301502,93.08777979,0.042370405,0
6,California,33,Lake County,64.591,61.17,4.789929704,1.569396763,0.359653425,0.114435181,0,86.30047409,85.84273337,0.457740723,6.866110839
6,California,35,Lassen County,31.345,111.14,3.419111031,0,0.305920461,0.58484794,15.55695519,79.79125427,79.66528703,0.125967249,0.341911103
6,California,37,Los Angeles County,10170.292,1938.1,64.82844022,5.328414427,5.540477788,0.019090862,0.002063877,1.785253599,0.909653785,0.875599814,22.49625922
6,California,39,Madera County,154.998,798.82,1.956636038,0.572093838,0.001251846,0.773641121,0,96.69637716,96.58997021,0.10640695,0
6,California,41,Marin County,261.221,70.63,39.9122186,0.283165794,0.042474869,1.684836472,0,58.07730426,57.3410732,0.736231063,0
6,California,43,Mariposa County,17.531,18.57,3.66182014,0,0.269251481,2.100161551,0,93.96876683,93.75336564,0.215401185,0
6,California,45,Mendocino County,87.649,81.41,10.84633337,4.11497359,0.208819555,0.429922614,0.012283503,84.38766736,84.21569832,0.171969046,0
6,California,47,Merced County,268.455,1086.56,4.6173244,0.518149021,0.068104845,2.287954646,3.15951259,89.32962745,89.30569872,0.023928729,0.019327051
6,California,49,Modoc County,8.965,173.26,0.346300358,0,0.046173381,0.473277156,0.155835161,98.97841394,98.78794875,0.190465197,0
6,California,51,Mono County,13.909,70.8,2.796610169,0.042372881,0.028248588,0.098870056,14.36440678,82.66949153,82.40112994,0.268361582,0
6,California,53,Monterey County,433.898,377.49,10.12742059,0.572200588,1.751039763,0.256960449,0,44.73231079,44.20514451,0.527166283,42.56006782
6,California,55,Napa County,142.456,126.28,12.10009503,5.97877732,0,0.126702566,0.467215711,81.32720938,80.72537219,0.601837187,0
6,California,57,Nevada County,98.877,60.45,18.92473118,0.132340778,0.628618693,0.181968569,0,80.13234078,78.08105873,2.051282051,0
